poi_id,lat,lon,cell_site_dist,4G_coverage,is_connected,is_visible,num_visible,fiber_length_1km,mst_solution_1km,fiber_length_2km,mst_solution_2km,fiber_length_3km,mst_solution_3km,fiber_length_4km,mst_solution_4km,fiber_length_5km,mst_solution_5km,fiber_length_6km,mst_solution_6km,fiber_length_7km,mst_solution_7km,fiber_length_8km,mst_solution_8km,fiber_length_9km,mst_solution_9km,fiber_length_10km,mst_solution_10km,fiber_length_11km,mst_solution_11km,fiber_length_12km,mst_solution_12km,fiber_length_13km,mst_solution_13km,fiber_length_14km,mst_solution_14km,fiber_length_15km,mst_solution_15km,technology_1km,technology_2km,technology_3km,technology_4km,technology_5km,technology_6km,technology_7km,technology_8km,technology_9km,technology_10km,technology_11km,technology_12km,technology_13km,technology_14km,technology_15km
4267fc81-0e9f-40ca-84c8-84529958dc22,39.00426587,1.525952107,1066,1.0,0,True,3,,0.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,1.6775239999999998,1.0,Existing cellular,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
4bb7174d-f3a5-485b-bd5d-423a370c713d,38.99330314,1.548169891,628,1.0,0,True,3,,0.0,0.8762089999999999,1.0,0.8762089999999999,1.0,0.8762089999999999,1.0,0.8762089999999999,1.0,0.8762089999999999,1.0,0.8762089999999999,1.0,0.8762089999999999,1.0,0.8762089999999999,1.0,0.8762089999999999,1.0,0.8762089999999999,1.0,0.8762089999999999,1.0,0.8762089999999999,1.0,0.8762089999999999,1.0,0.8762089999999999,1.0,Existing cellular,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
4c67727a-4af9-46ef-a98d-5ce5f843163d,38.93397385,1.239488959,1674,0.0,0,False,0,,0.0,,0.0,0.964758,1.0,0.964758,1.0,0.964758,1.0,0.964758,1.0,0.964758,1.0,0.964758,1.0,0.964758,1.0,0.964758,1.0,0.964758,1.0,0.964758,1.0,0.964758,1.0,0.964758,1.0,0.964758,1.0,Satellite,Satellite,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
5529ea39-d40f-4c80-a308-07fe2fb85cfa,38.90620842,1.366680989,1160,0.0,0,True,3,,0.0,,0.0,0.964592,1.0,0.964592,1.0,0.964592,1.0,0.964592,1.0,0.964592,1.0,0.964592,1.0,0.964592,1.0,0.964592,1.0,0.964592,1.0,0.964592,1.0,0.964592,1.0,0.964592,1.0,0.964592,1.0,Additional P2P microwave,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
563a183d-5d94-4e7f-810c-b5bf6d28a766,38.93416638,1.307153307,538,0.0,0,True,3,0.526317,1.0,0.526317,1.0,0.526317,1.0,0.526317,1.0,0.526317,1.0,0.526317,1.0,0.526317,1.0,0.526317,1.0,0.526317,1.0,0.526317,1.0,0.526317,1.0,0.526317,1.0,0.526317,1.0,0.526317,1.0,0.526317,1.0,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
5a88dfd9-2448-4643-8446-ec81f79f236e,38.96340292,1.450226287,930,0.0,0,True,3,,0.0,1.761412,1.0,1.761412,1.0,1.761412,1.0,1.761412,1.0,1.761412,1.0,1.761412,1.0,1.761412,1.0,1.761412,1.0,1.761412,1.0,1.761412,1.0,1.761412,1.0,1.761412,1.0,1.761412,1.0,1.761412,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
5b9fbca7-20b7-4b7a-8555-1be8137a8e12,39.03821867,1.482114837,1286,0.0,0,True,3,0.660705,1.0,0.660705,1.0,0.660705,1.0,0.660705,1.0,0.660705,1.0,0.660705,1.0,0.660705,1.0,0.660705,1.0,0.660705,1.0,0.660705,1.0,0.660705,1.0,0.660705,1.0,0.660705,1.0,0.660705,1.0,0.660705,1.0,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
6e4190d2-b21e-4c48-8cde-59bb39329f62,39.06236908,1.558964273,1713,1.0,0,True,3,,0.0,1.8791,1.0,1.8791,1.0,1.8791,1.0,1.8791,1.0,1.8791,1.0,1.8791,1.0,1.8791,1.0,1.8791,1.0,1.8791,1.0,1.8791,1.0,1.8791,1.0,1.8791,1.0,1.8791,1.0,1.8791,1.0,Existing cellular,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
74529871-b1ea-4c57-8874-709bf7554e64,38.93811274,1.486096642,1769,0.0,0,False,0,,0.0,1.8492709999999999,1.0,1.8492709999999999,1.0,1.8492709999999999,1.0,1.8492709999999999,1.0,1.8492709999999999,1.0,1.8492709999999999,1.0,1.8492709999999999,1.0,1.8492709999999999,1.0,1.8492709999999999,1.0,1.8492709999999999,1.0,1.8492709999999999,1.0,1.8492709999999999,1.0,1.8492709999999999,1.0,1.8492709999999999,1.0,Satellite,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
760b035f-e361-4d37-a95f-5b6f7ac93bbf,39.05118032,1.460825577,389,0.0,0,True,3,,0.0,,0.0,2.336128,1.0,2.336128,1.0,2.336128,1.0,2.336128,1.0,2.336128,1.0,2.336128,1.0,2.336128,1.0,2.336128,1.0,2.336128,1.0,2.336128,1.0,2.336128,1.0,2.336128,1.0,2.336128,1.0,Additional P2P microwave,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
