technology_selection_approach,basket_name,technology,number_poi,fiber_length,pp_coo,pp_coo_per_poi,pp_capex,init_capex,an_opex,init_capex_per_poi,an_opex_per_poi,estimate,max_dist_km
ranking,technology_6km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,6
ranking,technology_7km,fiber,100,131.087385,3163044.362280001,31630.44362280001,1488925.8868000002,1323925.8868000002,167411.84754800005,13239.258868000003,1674.1184754800006,upper bound,7
ranking,technology_7km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,7
ranking,technology_7km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,7
ranking,technology_7km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,7
ranking,technology_8km,fiber,100,131.087385,3163044.362280001,31630.44362280001,1488925.8868000002,1323925.8868000002,167411.84754800005,13239.258868000003,1674.1184754800006,upper bound,8
ranking,technology_8km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,8
ranking,technology_8km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,8
ranking,technology_8km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,8
ranking,technology_9km,fiber,100,131.087385,3163044.362280001,31630.44362280001,1488925.8868000002,1323925.8868000002,167411.84754800005,13239.258868000003,1674.1184754800006,upper bound,9
ranking,technology_9km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,9
ranking,technology_9km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,9
ranking,technology_9km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,9
ranking,technology_10km,fiber,100,131.087385,3163044.362280001,31630.44362280001,1488925.8868000002,1323925.8868000002,167411.84754800005,13239.258868000003,1674.1184754800006,upper bound,10
ranking,technology_10km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,10
ranking,technology_10km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,10
ranking,technology_10km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,10
ranking,technology_11km,fiber,100,131.087385,3163044.362280001,31630.44362280001,1488925.8868000002,1323925.8868000002,167411.84754800005,13239.258868000003,1674.1184754800006,upper bound,11
ranking,technology_11km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,11
ranking,technology_11km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,11
ranking,technology_11km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,11
ranking,technology_12km,fiber,100,131.087385,3163044.362280001,31630.44362280001,1488925.8868000002,1323925.8868000002,167411.84754800005,13239.258868000003,1674.1184754800006,upper bound,12
ranking,technology_12km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,12
ranking,technology_12km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,12
ranking,technology_12km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,12
ranking,technology_13km,fiber,100,131.087385,3163044.362280001,31630.44362280001,1488925.8868000002,1323925.8868000002,167411.84754800005,13239.258868000003,1674.1184754800006,upper bound,13
ranking,technology_13km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,13
ranking,technology_13km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,13
ranking,technology_13km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,13
ranking,technology_14km,fiber,100,131.087385,3163044.362280001,31630.44362280001,1488925.8868000002,1323925.8868000002,167411.84754800005,13239.258868000003,1674.1184754800006,upper bound,14
ranking,technology_14km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,14
ranking,technology_14km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,14
ranking,technology_14km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,14
ranking,technology_15km,fiber,100,131.087385,3163044.362280001,31630.44362280001,1488925.8868000002,1323925.8868000002,167411.84754800005,13239.258868000003,1674.1184754800006,upper bound,15
ranking,technology_15km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,15
ranking,technology_15km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,15
ranking,technology_15km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,15
